1, Felina, 5, 9.9
1, Granite State, 5, 9.8
1, Ozymandias, 5, 10
1, To'hajiilee, 5, 9.8
2, The Iron Throne, 8, 4.1
2, The Bells, 8, 6.0
2, The Last of the Starks, 8, 5.5
2, The Long Night, 8, 7.5
3, Hecho en America, 6, 9.1
3, The Blue Comet, 6, 9.3
4, The Last One, 10, 9.7
4, The One with Rachel's Going Away Party, 10, 8.9
4, The One Where Estelle Dies, 10, 8.2
